movie_title,username,rating,review_text
Avatar 3: Lửa Và Tro Tàn,nhinhiphanhi,10,Phim hay lắm nha
Avatar 3: Lửa Và Tro Tàn,Nguyễn Bá Thịnh,10,"Phim hay, đáng xem và chờ đợi thêm phần 4"
Avatar 3: Lửa Và Tro Tàn,Nguyễn Hữu Vinh,10,Tuyệt vời với màn ảnh rộng
Avatar 3: Lửa Và Tro Tàn,Hà văn học,10,Phim quá hay
Avatar 3: Lửa Và Tro Tàn,QAnh1234,1,"Phim tệ, cốt truyện theo lối mòn, tác giả và đạo diễn phim bị tham lam cái gì cx muốn bỏ vô cho bằng đc, xong lại không khai thác tốt để cho phim bị đẩy đi, giải thích lý do, và mô tả tâm lý nv quá nhanh chưa kịp lấy cảm xúc phim đã chạy đi chiến đấu r. Đến mức phim bị dài, đành đẩy nhanh p phim🙄 lý do trơ trẻn, đc cái background phim mới lạ nên khán giả có hưng thú xem nhưng những quá trình của chiến tranh còn ko thèm khai thác cơ, chỉ bt cổ vũ tinh thần, mà chưa lên cảm xúc thì qua diễn biến khác của phim. Hở tý là này là kia phim chỉ đang lấy cốt truyện kiểu mỳ ăn liền của phương tây r gán ghép qua thui. Chứ chả có gì mới lạ cả. Cả quá trình xem phim cứ thấy ngang ngang lên cao trào ko nổi lun á. Kịch tính chỗ nào vậy mn. Hay do tôi xem kiểu phim như này quá nên cảm thấy mỳ ăn liền chả gay cấn chỗ nào. Tính ra mình còn dự đoán đc diễn biến tiếp theo của phim sẽ làm gì, mất hứng thú thật sự. Ý kiến cá nhân thôi nha. Cá nhân mình thấy vậy, nếu các bạn thấy hay thì mong đợi phần tiếp theo ik. Mình thì ko vì có thể dự đoán phần tới sẽ có gì nếu như ko thay đổi kiểu cốt truyện như hiện tại cả 3p chưa phần để lại ấn tượng tốt cả."
Avatar 3: Lửa Và Tro Tàn,NamPrevia,5,"ko như kỳ vọng, các tình huống có thể thấy rỏ ràng:
- đại tá Miles Quaritch ko thuyết phục, ko logic, lúc thì phê thuốc khi lại trở thành thủ lĩnh mới của Tộc Tro, nhất là kết phim lại tự sát... 
- khi Kiri kêu gọi được thần chiến binh trợ giúp bằng các con ""mực ma"" chứ không phải là sóng thần hay nhiều loại thủy quái...
- vẫn là cảnh chiến đấu giữa cung tên thô sơ với khí tài hiện đại mà khán giả đã biết ở 2 tập trước.
tóm lại ko nên ra tiếp phần sau."
Avatar 3: Lửa Và Tro Tàn,Trương Trần Ngọc Liên,10,"Kỉ xảo điện ảnh xuất sắc, phim hay!"
Avatar 3: Lửa Và Tro Tàn,Lê Quốc Trí,10,đồ hoạ quá đẹp
Avatar 3: Lửa Và Tro Tàn,0394976495,10,tôi đã phải nhịn đi vệ sinh để xem hết phim này .quá quấn hút ..
Avatar 3: Lửa Và Tro Tàn,Lê ngọc thuỵ vy,10,Hay tuyệt. Sẽ xem lần 2
Avatar 3: Lửa Và Tro Tàn,Lan Anh,10,xịn quá nà
Avatar 3: Lửa Và Tro Tàn,Joseph Guse,8,Absolutely awful service. The moive was absolutely horrific at 4 hours as well.
Avatar 3: Lửa Và Tro Tàn,Nguyễn Thị Hân,10,Mình sẽ đi xem lại lần 2.....
Avatar 3: Lửa Và Tro Tàn,DAO THANH TUNG,9,Phim không hay gì cả =))
Avatar 3: Lửa Và Tro Tàn,liamchau,9,"Âm thanh tốt a, không khí mát. Nhân viên rất chu đáo."
Nhà Hai Chủ,nguoidungfb,1,"Đã Xem - Đánh giá 1* .. Phim khá xàm , so sánh với phim youtube có khi còn dở hơn phim Youtube 🥴"
Nhà Hai Chủ,nhinhiphanhi,1,"Bỏ ra hơn 150k tiền vé bắp nước đổi lại chẳng được gì
Khúc đầu thì coi cũng được được.... khúc sau không hiểu phim nói về vấn đề gì luôn và cái ý nghĩa nói ra sao??...... nó xàm dỡ tệ thì thôi luôn"
Nhà Hai Chủ,Lê Quân,1,phim ko hay
Nhà Hai Chủ,thiendat123,5,phim xàm dở thà coi phim ở nhà ngon hơn
Avatar 3: Lửa Và Tro Tàn,nhinhiphanhi,10,Phim hay lắm nha
Avatar 3: Lửa Và Tro Tàn,Nguyễn Bá Thịnh,10,"Phim hay, đáng xem và chờ đợi thêm phần 4"
Avatar 3: Lửa Và Tro Tàn,Nguyễn Hữu Vinh,10,Tuyệt vời với màn ảnh rộng
Avatar 3: Lửa Và Tro Tàn,Hà văn học,10,Phim quá hay
