id,movie_title,review_text,rating
1,Avatar 3: Lửa Và Tro Tàn,Phim hay lắm nha,10
2,Avatar 3: Lửa Và Tro Tàn,"Phim hay, đáng xem và chờ đợi thêm phần 4",10
3,Avatar 3: Lửa Và Tro Tàn,Tuyệt vời với màn ảnh rộng,10
4,Avatar 3: Lửa Và Tro Tàn,Phim quá hay,10
5,Avatar 3: Lửa Và Tro Tàn,"Phim tệ, cốt truyện theo lối mòn, tác giả và đạo diễn phim bị tham lam cái gì cx muốn bỏ vô cho bằng đc, xong lại không khai thác tốt để cho phim bị đẩy đi, giải thích lý do, và mô tả tâm lý nv quá nhanh chưa kịp lấy cảm xúc phim đã chạy đi chiến đấu r. Đến mức phim bị dài, đành đẩy nhanh p phim🙄 lý do trơ trẻn, đc cái background phim mới lạ nên khán giả có hưng thú xem nhưng những quá trình của chiến tranh còn ko thèm khai thác cơ, chỉ bt cổ vũ tinh thần, mà chưa lên cảm xúc thì qua diễn biến khác của phim. Hở tý là này là kia phim chỉ đang lấy cốt truyện kiểu mỳ ăn liền của phương tây r gán ghép qua thui. Chứ chả có gì mới lạ cả. Cả quá trình xem phim cứ thấy ngang ngang lên cao trào ko nổi lun á. Kịch tính chỗ nào vậy mn. Hay do tôi xem kiểu phim như này quá nên cảm thấy mỳ ăn liền chả gay cấn chỗ nào. Tính ra mình còn dự đoán đc diễn biến tiếp theo của phim sẽ làm gì, mất hứng thú thật sự. Ý kiến cá nhân thôi nha. Cá nhân mình thấy vậy, nếu các bạn thấy hay thì mong đợi phần tiếp theo ik. Mình thì ko vì có thể dự đoán phần tới sẽ có gì nếu như ko thay đổi kiểu cốt truyện như hiện tại cả 3p chưa phần để lại ấn tượng tốt cả.",1
6,Avatar 3: Lửa Và Tro Tàn,"ko như kỳ vọng, các tình huống có thể thấy rỏ ràng:
- đại tá Miles Quaritch ko thuyết phục, ko logic, lúc thì phê thuốc khi lại trở thành thủ lĩnh mới của Tộc Tro, nhất là kết phim lại tự sát... 
- khi Kiri kêu gọi được thần chiến binh trợ giúp bằng các con ""mực ma"" chứ không phải là sóng thần hay nhiều loại thủy quái...
- vẫn là cảnh chiến đấu giữa cung tên thô sơ với khí tài hiện đại mà khán giả đã biết ở 2 tập trước.
tóm lại ko nên ra tiếp phần sau.",5
7,Avatar 3: Lửa Và Tro Tàn,"Kỉ xảo điện ảnh xuất sắc, phim hay!",10
8,Avatar 3: Lửa Và Tro Tàn,đồ hoạ quá đẹp,10
9,Avatar 3: Lửa Và Tro Tàn,tôi đã phải nhịn đi vệ sinh để xem hết phim này .quá quấn hút ..,10
10,Avatar 3: Lửa Và Tro Tàn,Hay tuyệt. Sẽ xem lần 2,10
11,Avatar 3: Lửa Và Tro Tàn,xịn quá nà,10
12,Avatar 3: Lửa Và Tro Tàn,Absolutely awful service. The moive was absolutely horrific at 4 hours as well.,8
